GEO_ID,NAME,,P001001,,,,,,
id,Geographic Area Name,Zip Clean,Total,,,,,,Source
8710000US0691948,"ZCTA5 91948, California",91948,78,,,,,,
8710000US0691950,"ZCTA5 91950, California",91950,60322,,,,,,
8710000US0691978,"ZCTA5 91978, California",91978,8896,,,,,,
8710000US0691962,"ZCTA5 91962, California",91962,1646,,,,,,
8710000US0691963,"ZCTA5 91963, California",91963,1118,,,,,,
8710000US0691977,"ZCTA5 91977, California",91977,58368,,,,,,
8710000US0691980,"ZCTA5 91980, California",91980,165,,,,,,
8710000US0692003,"ZCTA5 92003, California",92003,4746,,,,,,
8710000US0692004,"ZCTA5 92004, California",92004,3881,,,,,,
8710000US0692007,"ZCTA5 92007, California",92007,10429,,,,,,
8710000US0692008,"ZCTA5 92008, California",92008,27649,,,,,,
8710000US0692009,"ZCTA5 92009, California",92009,40747,,,,,,
8710000US0692010,"ZCTA5 92010, California",92010,14382,,,,,,
8710000US0692011,"ZCTA5 92011, California",92011,22405,,,,,,
8710000US0695528,"ZCTA5 95528, California",95528,1139,,,,,,
8710000US0695531,"ZCTA5 95531, California",95531,24528,,,,,,
8710000US0695536,"ZCTA5 95536, California",95536,2849,,,,,,
8710000US0695537,"ZCTA5 95537, California",95537,276,,,,,,
8710000US0695540,"ZCTA5 95540, California",95540,13657,,,,,,
8710000US0695542,"ZCTA5 95542, California",95542,2533,,,,,,
8710000US0695543,"ZCTA5 95543, California",95543,765,,,,,,
8710000US0695545,"ZCTA5 95545, California",95545,153,,,,,,
8710000US0695546,"ZCTA5 95546, California",95546,3494,,,,,,
8710000US0695547,"ZCTA5 95547, California",95547,1222,,,,,,
8710000US0695548,"ZCTA5 95548, California",95548,1373,,,,,,
8710000US0695549,"ZCTA5 95549, California",95549,805,,,,,,
8710000US0695550,"ZCTA5 95550, California",95550,128,,,,,,
8710000US0695551,"ZCTA5 95551, California",95551,1739,,,,,,
8710000US0695552,"ZCTA5 95552, California",95552,697,,,,,,
8710000US0695553,"ZCTA5 95553, California",95553,1062,,,,,,
8710000US0695554,"ZCTA5 95554, California",95554,533,,,,,,
8710000US0695555,"ZCTA5 95555, California",95555,410,,,,,,
8710000US0695556,"ZCTA5 95556, California",95556,605,,,,,,
8710000US0695558,"ZCTA5 95558, California",95558,425,,,,,,
8710000US0695559,"ZCTA5 95559, California",95559,182,,,,,,
8710000US0695560,"ZCTA5 95560, California",95560,1648,,,,,,
8710000US0695562,"ZCTA5 95562, California",95562,3450,,,,,,
8710000US0695563,"ZCTA5 95563, California",95563,652,,,,,,
8710000US0695564,"ZCTA5 95564, California",95564,462,,,,,,
8710000US0695565,"ZCTA5 95565, California",95565,1071,,,,,,
8710000US0695567,"ZCTA5 95567, California",95567,1930,,,,,,
8710000US0695568,"ZCTA5 95568, California",95568,136,,,,,,
8710000US0695569,"ZCTA5 95569, California",95569,361,,,,,,
8710000US0695570,"ZCTA5 95570, California",95570,2579,,,,,,
8710000US0695571,"ZCTA5 95571, California",95571,271,,,,,,
8710000US0695589,"ZCTA5 95589, California",95589,1612,,,,,,
8710000US0695573,"ZCTA5 95573, California",95573,1744,,,,,,
8710000US0695585,"ZCTA5 95585, California",95585,508,,,,,,
8710000US0695587,"ZCTA5 95587, California",95587,201,,,,,,
8710000US0695603,"ZCTA5 95603, California",95603,27844,,,,,,
8710000US0695595,"ZCTA5 95595, California",95595,262,,,,,,
8710000US0695601,"ZCTA5 95601, California",95601,198,,,,,,
8710000US0695602,"ZCTA5 95602, California",95602,17509,,,,,,
8710000US0695604,"ZCTA5 95604, California",95604,75,,,,,,
8710000US0695605,"ZCTA5 95605, California",95605,14179,,,,,,
8710000US0695606,"ZCTA5 95606, California",95606,196,,,,,,
8710000US0695607,"ZCTA5 95607, California",95607,431,,,,,,
8710000US0695608,"ZCTA5 95608, California",95608,59418,,,,,,
8710000US0695610,"ZCTA5 95610, California",95610,44147,,,,,,
8710000US0695612,"ZCTA5 95612, California",95612,1239,,,,,,
